CustomerId,MerchantId,DateSubscribed
34,11,9/7/2023
21,20,8/27/2024
40,32,10/22/2024
14,3,6/22/2023
32,33,10/16/2023
20,39,3/20/2025
26,29,4/5/2025
39,19,12/15/2024
5,27,6/7/2024
18,25,11/17/2024
36,9,9/2/2024
17,7,6/13/2023
11,31,12/21/2024
4,38,12/29/2024
13,26,2/13/2024
28,16,5/6/2024
37,8,2/19/2023
27,13,4/17/2024
16,2,5/10/2023
2,22,11/5/2024
10,40,12/7/2023
25,23,4/1/2023
31,30,9/10/2024
7,14,4/17/2023
22,35,4/20/2024
1,24,8/17/2023
12,28,5/5/2023
35,36,11/10/2024
29,12,10/20/2023
30,21,11/18/2023
6,4,10/8/2023
24,17,1/12/2025
3,10,5/6/2024
38,1,4/23/2024
33,37,1/26/2023
23,34,3/1/2024
9,18,3/6/2024
19,6,8/21/2024
8,15,1/13/2024
15,5,3/20/2023
