ItemID,MerchantID,ItemName,CurrentPrice,Description,ItemType,IsRewardItem,IsActive
1,1,donec odio justo,4.34,Integer tincidunt ante vel ipsum.,Beverage,false,true
2,2,interdum eu tincidunt,4.4,"Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",Merchandise,false,false
3,3,fusce posuere,8.08,Duis at velit eu est congue elementum.,Merchandise,false,true
4,4,pellentesque,5.31,Morbi non lectus.,Packaged,false,true
5,5,nulla tempus,3.78,Maecenas rhoncus aliquam lacus.,Food,false,false
6,6,sapien a,3.32,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio.,Food,false,true
7,7,mi pede malesuada,1.99,Maecenas rhoncus aliquam lacus.,Merchandise,false,true
8,8,dictumst morbi,4.97,Morbi porttitor lorem id ligula.,Beverage,true,true
9,9,ut erat id,3.77,Praesent blandit.,Merchandise,true,true
10,10,mi pede,8.54,Vivamus tortor.,Merchandise,true,true
11,11,ullamcorper,3.53,Integer ac leo.,Food,false,true
12,12,luctus,9.77,"Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante.",Merchandise,false,true
13,13,eu,7.25,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",Food,false,false
14,14,dapibus nulla,8.62,Vestibulum ac est lacinia nisi venenatis tristique.,Merchandise,false,true
15,15,integer,3.23,In hac habitasse platea dictumst.,Packaged,true,true
16,16,maecenas tincidunt lacus,4.65,Duis at velit eu est congue elementum.,Food,false,true
17,17,eu,6.55,"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",Beverage,true,true
18,18,purus aliquet,4.62,Proin interdum mauris non ligula pellentesque ultrices.,Merchandise,false,true
19,19,augue,7.32,Morbi vel lectus in quam fringilla rhoncus.,Merchandise,true,true
20,20,velit,5.95,Aenean sit amet justo.,Food,false,true
21,21,massa donec,5.17,Quisque porta volutpat erat.,Merchandise,false,true
22,22,vel nulla,7.87,Nam dui.,Merchandise,false,true
23,23,nec molestie sed,3.62,In eleifend quam a odio.,Packaged,false,false
24,24,morbi,3.55,Suspendisse accumsan tortor quis turpis.,Merchandise,false,true
25,25,sapien arcu sed,1.94,Aliquam erat volutpat.,Merchandise,false,false
26,26,interdum venenatis,3.62,"Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",Merchandise,false,true
27,27,morbi non quam,7.53,Aliquam quis turpis eget elit sodales scelerisque.,Merchandise,false,true
28,28,faucibus accumsan,9.97,In hac habitasse platea dictumst.,Packaged,false,false
29,29,ut,4.45,Nulla mollis molestie lorem.,Beverage,false,true
30,30,integer tincidunt ante,1.63,Phasellus sit amet erat.,Food,false,true
31,31,nec nisi,9.04,"Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante.",Merchandise,false,false
32,32,eu,6.7,"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",Merchandise,false,true
33,33,erat,5.05,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi.",Beverage,false,true
34,34,at velit vivamus,1.18,"Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl.",Beverage,false,true
35,35,facilisi,3.19,Quisque porta volutpat erat.,Food,false,true
36,36,id,7.56,Vivamus vel nulla eget eros elementum pellentesque.,Merchandise,false,true
37,37,nulla justo,7.69,Quisque id justo sit amet sapien dignissim vestibulum.,Beverage,false,true
38,38,eget eros elementum,9.44,Cras non velit nec nisi vulputate nonummy.,Merchandise,false,true
39,39,tincidunt ante,5.68,Nulla ac enim.,Food,true,true
40,40,maecenas rhoncus aliquam,4.95,Integer ac leo.,Packaged,false,true
41,1,ut at,7.8,Nunc rhoncus dui vel sem.,Packaged,false,true
42,2,integer pede justo,2.51,Duis bibendum.,Merchandise,true,true
43,3,odio,9.72,"Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci.",Beverage,false,true
44,4,quisque porta volutpat,2.81,"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",Merchandise,false,true
45,5,sed,5.56,Duis at velit eu est congue elementum.,Food,false,false
46,6,id,5.22,Aenean lectus.,Beverage,true,true
47,7,ante,4.64,Morbi porttitor lorem id ligula.,Food,false,true
48,8,quam pharetra magna,3.45,Donec ut dolor.,Packaged,false,true
49,9,proin leo odio,4.79,Morbi porttitor lorem id ligula.,Merchandise,false,true
50,10,pharetra,4.38,Integer ac leo.,Packaged,true,true
51,11,amet nulla quisque,7.14,Proin interdum mauris non ligula pellentesque ultrices.,Food,false,true
52,12,vel accumsan,5.7,Nulla ut erat id mauris vulputate elementum.,Food,false,true
53,13,adipiscing elit proin,9.32,"Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",Merchandise,false,true
54,14,quam sollicitudin vitae,7.04,Maecenas rhoncus aliquam lacus.,Merchandise,false,true
55,15,elementum nullam varius,2.09,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla.",Food,false,true
56,16,sapien a,1.71,Nullam porttitor lacus at turpis.,Merchandise,true,true
57,17,rhoncus dui,1.45,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",Packaged,false,true
58,18,in hac habitasse,9.81,"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",Beverage,true,false
59,19,urna ut tellus,1.0,Praesent id massa id nisl venenatis lacinia.,Beverage,false,true
60,20,at,6.07,Praesent blandit lacinia erat.,Merchandise,true,true
61,21,in hac habitasse,3.85,Nunc nisl.,Food,false,false
62,22,non ligula,1.66,Vestibulum ac est lacinia nisi venenatis tristique.,Merchandise,false,true
63,23,pellentesque ultrices phasellus,3.39,Morbi non lectus.,Beverage,false,true
64,24,porttitor lorem id,8.89,Integer non velit.,Food,false,true
65,25,at dolor,3.85,Phasellus id sapien in sapien iaculis congue.,Packaged,true,true
66,26,rutrum neque,7.21,Nulla mollis molestie lorem.,Food,false,true
67,27,elit proin,4.05,"Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",Food,false,true
68,28,eget,5.22,Aenean auctor gravida sem.,Food,false,true
69,29,nulla justo,9.84,Cras in purus eu magna vulputate luctus.,Beverage,false,true
70,30,sit amet nunc,5.25,Maecenas rhoncus aliquam lacus.,Beverage,false,true
71,31,est,1.3,In congue.,Beverage,false,false
72,32,id justo,4.33,Nunc purus.,Food,false,true
73,33,odio,8.11,Aliquam erat volutpat.,Beverage,false,true
74,34,ultrices,8.25,Suspendisse potenti.,Food,true,true
75,35,pulvinar nulla pede,4.78,Duis bibendum.,Merchandise,false,true
76,36,leo pellentesque,3.74,Duis at velit eu est congue elementum.,Beverage,false,true
77,37,eget,3.18,"Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",Merchandise,true,false
78,38,ipsum,9.74,Aliquam sit amet diam in magna bibendum imperdiet.,Beverage,true,true
79,39,orci,2.63,Maecenas ut massa quis augue luctus tincidunt.,Merchandise,true,true
80,40,eu,2.04,"Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo.",Merchandise,true,true
