RewardId,ItemId,MerchantId,StartDate,EndDate
1,65,21,11/23/2024,3/23/2093
2,58,18,7/21/2024,4/5/2042
3,70,33,8/8/2024,5/2/2090
4,60,9,3/19/2025,7/15/2039
5,53,7,3/3/2025,11/7/2034
6,31,35,9/28/2024,4/14/2064
7,5,8,2/19/2024,6/10/2104
8,15,12,1/4/2025,7/3/2041
9,55,6,8/17/2023,7/11/2043
10,78,27,7/24/2023,6/25/2083
11,63,34,9/29/2024,4/22/2039
12,22,13,3/31/2025,10/25/2106
13,23,22,4/9/2023,6/20/2049
14,73,19,11/16/2024,9/16/2045
15,12,32,10/31/2023,5/31/2074
16,46,14,8/4/2023,10/23/2026
17,79,3,3/20/2023,1/25/2058
18,74,37,3/30/2023,5/3/2057
19,80,38,3/17/2025,4/21/2028
20,64,26,7/16/2024,4/18/2101
21,30,31,8/16/2024,3/4/2058
22,17,5,3/23/2024,4/2/2054
23,56,24,1/27/2023,11/28/2042
24,57,4,8/28/2024,10/21/2078
25,71,29,6/22/2024,11/6/2054
26,62,40,9/4/2023,3/31/2088
27,61,11,1/1/2025,12/14/2104
28,69,28,10/18/2023,9/13/2094
29,3,30,12/20/2023,11/26/2105
30,51,25,5/6/2024,3/30/2063
31,49,15,8/14/2024,5/7/2094
32,34,17,9/14/2024,4/14/2089
33,21,20,8/19/2024,3/29/2078
34,42,2,6/20/2023,5/28/2067
35,6,10,4/2/2025,11/24/2052
36,44,39,4/16/2024,7/15/2030
37,7,23,5/3/2023,12/13/2060
38,16,1,9/15/2023,11/27/2063
39,47,36,12/16/2023,7/27/2074
40,76,16,3/25/2025,10/25/2092
41,13,19,7/27/2023,8/31/2060
42,29,1,3/27/2023,12/8/2035
43,48,7,2/13/2024,2/10/2093
44,25,13,11/29/2024,4/25/2094
45,37,24,8/28/2023,10/16/2030
46,38,30,5/27/2024,1/12/2074
47,28,3,3/17/2025,1/7/2074
48,77,33,1/21/2024,1/22/2082
49,1,10,12/18/2023,10/5/2077
50,52,34,5/22/2024,1/13/2036
