TransactionID,CustomerID,MerchantID,PaymentMethod,CardUsed,Date,Time,TransactionType,AmountPaid
1,1,14,accountbalance,,2024-10-30,6:41:40,purchase,33.15
2,2,33,card,2,2024-11-09,18:50:17,balancereload,58.57
3,3,10,accountbalance,,2025-03-28,12:09:38,purchase,1.07
4,4,12,accountbalance,,2024-07-01,10:24:05,purchase,3.45
5,5,19,card,5,2025-01-28,13:49:05,purchase,62.19
6,6,29,card,6,2024-11-13,10:52:07,balancereload,2.99
7,7,29,accountbalance,,2024-11-13,14:55:24,purchase,77.64
8,8,37,accountbalance,,2024-08-03,7:57:07,purchase,43.1
9,9,24,accountbalance,,2024-08-30,7:40:42,purchase,25.27
10,10,7,accountbalance,,2024-07-13,14:02:55,purchase,67.83
11,11,21,accountbalance,,2025-03-30,6:59:54,purchase,35.52
12,12,38,accountbalance,,2024-10-18,13:54:11,purchase,26.49
13,13,25,accountbalance,,2025-03-07,19:07:32,purchase,28.11
14,14,21,accountbalance,,2025-03-07,5:17:04,purchase,78.23
15,15,28,card,15,2024-04-16,20:30:46,balancereload,76.33
16,16,18,accountbalance,,2024-11-06,18:31:24,purchase,65.89
17,17,31,card,17,2024-05-27,9:25:13,purchase,76.68
18,18,12,card,18,2024-04-23,8:08:36,balancereload,30.46
19,19,19,card,19,2025-01-30,20:11:52,balancereload,2.42
20,20,18,card,20,2025-03-13,11:46:29,purchase,73.25
21,21,11,accountbalance,,2025-03-30,6:34:45,purchase,10.05
22,22,26,accountbalance,,2024-09-04,21:05:51,purchase,66.01
23,23,37,card,23,2024-07-23,11:45:58,balancereload,46.61
24,24,22,accountbalance,,2024-10-02,16:35:04,purchase,35.8
25,25,12,accountbalance,,2024-11-05,17:10:20,purchase,34.63
26,26,13,accountbalance,,2025-03-10,8:24:18,purchase,9.05
27,27,25,accountbalance,,2024-05-12,19:34:59,purchase,66.06
28,28,31,accountbalance,,2024-12-28,21:38:04,purchase,93.08
29,29,17,accountbalance,,2024-09-15,18:22:30,purchase,46.2
30,30,13,accountbalance,,2024-08-08,7:32:48,purchase,31.0
31,31,38,accountbalance,,2025-01-17,6:31:53,purchase,12.74
32,32,35,accountbalance,,2024-05-05,17:50:35,purchase,68.22
33,33,26,accountbalance,,2024-10-26,10:34:15,purchase,38.6
34,34,28,accountbalance,,2024-09-17,19:18:54,purchase,2.84
35,35,10,accountbalance,,2024-11-07,5:44:50,purchase,74.18
36,36,34,accountbalance,,2024-12-13,20:13:17,purchase,57.39
37,37,11,accountbalance,,2024-08-13,7:55:28,purchase,8.73
38,38,35,card,38,2024-05-03,19:17:21,purchase,34.8
39,39,24,card,39,2024-12-20,21:55:18,purchase,75.21
40,40,40,card,40,2025-02-08,5:03:50,purchase,25.23
41,1,14,accountbalance,,2024-12-31,9:12:00,purchase,88.32
42,2,31,accountbalance,,2024-05-05,12:53:19,purchase,74.78
43,3,20,accountbalance,,2024-07-11,8:23:43,purchase,55.23
44,4,8,card,44,2024-08-12,14:14:32,balancereload,24.77
45,5,29,accountbalance,,2024-11-16,7:05:16,purchase,21.9
46,6,36,accountbalance,,2024-07-13,18:28:53,purchase,14.75
47,7,17,accountbalance,,2024-09-17,10:34:36,purchase,95.44
48,8,34,card,48,2024-07-31,6:09:48,balancereload,9.9
49,9,5,accountbalance,,2024-09-29,8:13:06,purchase,40.54
50,10,34,accountbalance,,2025-01-24,14:03:53,purchase,0.25
51,11,9,accountbalance,,2024-05-01,21:41:31,purchase,26.45
52,12,17,card,52,2024-07-01,13:16:34,purchase,36.46
53,13,38,card,53,2024-07-14,6:38:31,purchase,91.74
54,14,5,accountbalance,,2025-02-08,15:35:58,purchase,45.38
55,15,37,accountbalance,,2024-11-29,16:25:12,purchase,83.6
56,16,39,card,56,2024-06-02,7:17:18,purchase,65.64
57,17,6,accountbalance,,2024-12-13,9:22:14,purchase,56.53
58,18,31,card,58,2025-01-01,7:10:18,balancereload,83.19
59,19,17,accountbalance,,2025-01-17,18:58:19,purchase,86.39
60,20,28,card,60,2024-05-25,11:05:27,purchase,40.81
61,21,12,accountbalance,,2024-09-08,20:09:31,purchase,10.94
62,22,10,accountbalance,,2025-01-14,13:08:37,purchase,39.24
63,23,22,card,63,2024-09-20,21:02:46,balancereload,20.31
64,24,5,card,64,2024-08-03,16:26:04,balancereload,58.86
65,25,28,card,65,2024-11-17,10:35:07,purchase,96.29
66,26,6,accountbalance,,2025-02-15,6:18:27,purchase,94.77
67,27,19,accountbalance,,2024-10-08,18:15:19,purchase,34.09
68,28,18,accountbalance,,2024-10-13,11:34:25,purchase,67.84
69,29,25,accountbalance,,2024-05-31,13:48:31,purchase,93.54
70,30,20,card,70,2024-07-19,18:58:36,balancereload,99.82
71,31,29,accountbalance,,2025-02-23,12:36:14,purchase,95.88
72,32,37,accountbalance,,2024-12-24,21:14:33,purchase,59.26
73,33,21,card,73,2025-03-11,18:57:43,balancereload,47.26
74,34,2,card,74,2025-02-22,7:55:12,purchase,37.88
75,35,1,accountbalance,,2024-09-22,10:38:48,purchase,20.81
76,36,36,accountbalance,,2024-09-30,18:48:03,purchase,16.02
77,37,40,card,77,2024-07-14,18:02:44,balancereload,59.73
78,38,38,card,78,2025-01-02,16:05:38,balancereload,89.63
79,39,27,accountbalance,,2024-07-25,6:35:38,purchase,25.78
80,40,39,accountbalance,,2025-03-11,15:52:31,purchase,61.74
