CustomerId,MerchantId,DateSubscribed
34,11,2023-09-07
21,20,2024-08-27
40,32,2024-10-22
14,3,2023-06-22
32,33,2023-10-16
20,39,2025-03-20
26,29,2025-04-05
39,19,2024-12-15
5,27,2024-06-07
18,25,2024-11-17
36,9,2024-09-02
17,7,2023-06-13
11,31,2024-12-21
4,38,2024-12-29
13,26,2024-02-13
28,16,2024-05-06
37,8,2023-02-19
27,13,2024-04-17
16,2,2023-05-10
2,22,2024-11-05
10,40,2023-12-07
25,23,2023-04-01
31,30,2024-09-10
7,14,2023-04-17
22,35,2024-04-20
1,24,2023-08-17
12,28,2023-05-05
35,36,2024-11-10
29,12,2023-10-20
30,21,2023-11-18
6,4,2023-10-08
24,17,2025-01-12
3,10,2024-05-06
38,1,2024-04-23
33,37,2023-01-26
23,34,2024-03-01
9,18,2024-03-06
19,6,2024-08-21
8,15,2024-01-13
15,5,2023-03-20
