RewardId,ItemId,MerchantId,StartDate,EndDate
1,65,21,2024-11-23,2093-03-23
2,58,18,2024-07-21,2042-04-05
3,70,33,2024-08-08,2090-05-02
4,60,9,2025-03-19,2039-07-15
5,53,7,2025-03-03,2034-11-07
6,31,35,2024-09-28,2064-04-14
7,5,8,2024-02-19,2104-06-10
8,15,12,2025-01-04,2041-07-03
9,55,6,2023-08-17,2043-07-11
10,78,27,2023-07-24,2083-06-25
11,63,34,2024-09-29,2039-04-22
12,22,13,2025-03-31,2106-10-25
13,23,22,2023-04-09,2049-06-20
14,73,19,2024-11-16,2045-09-16
15,12,32,2023-10-31,2074-05-31
16,46,14,2023-08-04,2026-10-23
17,79,3,2023-03-20,2058-01-25
18,74,37,2023-03-30,2057-05-03
19,80,38,2025-03-17,2028-04-21
20,64,26,2024-07-16,2101-04-18
21,30,31,2024-08-16,2058-03-04
22,17,5,2024-03-23,2054-04-02
23,56,24,2023-01-27,2042-11-28
24,57,4,2024-08-28,2078-10-21
25,71,29,2024-06-22,2054-11-06
26,62,40,2023-09-04,2088-03-31
27,61,11,2025-01-01,2104-12-14
28,69,28,2023-10-18,2094-09-13
29,3,30,2023-12-20,2105-11-26
30,51,25,2024-05-06,2063-03-30
31,49,15,2024-08-14,2094-05-07
32,34,17,2024-09-14,2089-04-14
33,21,20,2024-08-19,2078-03-29
34,42,2,2023-06-20,2067-05-28
35,6,10,2025-04-02,2052-11-24
36,44,39,2024-04-16,2030-07-15
37,7,23,2023-05-03,2060-12-13
38,16,1,2023-09-15,2063-11-27
39,47,36,2023-12-16,2074-07-27
40,76,16,2025-03-25,2092-10-25
41,13,19,2023-07-27,2060-08-31
42,29,1,2023-03-27,2035-12-08
43,48,7,2024-02-13,2093-02-10
44,25,13,2024-11-29,2094-04-25
45,37,24,2023-08-28,2030-10-16
46,38,30,2024-05-27,2074-01-12
47,28,3,2025-03-17,2074-01-07
48,77,33,2024-01-21,2082-01-22
49,1,10,2023-12-18,2077-10-05
50,52,34,2024-05-22,2036-01-13
